region,year,total_deaths
AFRO,2000,79230
AFRO,2001,104110
AFRO,2002,111318
AFRO,2003,168534
AFRO,2004,134536
AFRO,2005,157036
AFRO,2006,160975
AFRO,2007,115385
AFRO,2008,115985
AFRO,2009,148159
AFRO,2010,166298
AFRO,2011,115863
AFRO,2012,111941
AFRO,2013,124882
AFRO,2014,104753
AFRO,2015,143470
AFRO,2016,123782
AFRO,2017,111147
AFRO,2018,111965
AFRO,2019,133687
AFRO,2020,102140
AFRO,2021,117018
AFRO,2022,107543
AFRO,2023,95598
AFRO,2024,103699
EMRO,2000,2166
EMRO,2001,2254
EMRO,2002,2135
EMRO,2003,2567
EMRO,2004,1894
EMRO,2005,1857
EMRO,2006,1363
EMRO,2007,1352
EMRO,2008,1243
EMRO,2009,1257
EMRO,2010,1143
EMRO,2011,736
EMRO,2012,996
EMRO,2013,1048
EMRO,2014,976
EMRO,2015,1015
EMRO,2016,861
EMRO,2017,1714
EMRO,2018,3320
EMRO,2019,1688
EMRO,2020,792
EMRO,2021,1725
EMRO,2022,1902
EMRO,2023,958
EMRO,2024,772
EURO,2000,0
EURO,2001,0
EURO,2002,0
EURO,2003,0
EURO,2004,0
EURO,2005,0
EURO,2006,0
EURO,2007,0
EURO,2008,0
EURO,2009,0
EURO,2010,0
EURO,2011,0
EURO,2012,0
EURO,2013,0
EURO,2014,0
EURO,2015,0
EURO,2016,0
EURO,2017,0
EURO,2018,0
EURO,2019,0
EURO,2020,0
EURO,2022,0
EURO,2023,0
EURO,2024,0
PAHO,2000,570
PAHO,2001,593
PAHO,2002,503
PAHO,2003,518
PAHO,2004,401
PAHO,2005,346
PAHO,2006,286
PAHO,2007,264
PAHO,2008,182
PAHO,2009,177
PAHO,2010,190
PAHO,2011,167
PAHO,2012,156
PAHO,2013,127
PAHO,2014,130
PAHO,2015,158
PAHO,2016,247
PAHO,2017,430
PAHO,2018,344
PAHO,2019,190
PAHO,2020,117
PAHO,2021,119
PAHO,2022,109
PAHO,2023,106
PAHO,2024,132
SEARO,2000,5522
SEARO,2001,4780
SEARO,2002,4610
SEARO,2003,4283
SEARO,2004,4254
SEARO,2005,3506
SEARO,2006,4587
SEARO,2007,2963
SEARO,2008,3101
SEARO,2009,3198
SEARO,2010,2421
SEARO,2011,1821
SEARO,2012,1229
SEARO,2013,1126
SEARO,2014,955
SEARO,2015,463
SEARO,2016,399
SEARO,2017,252
SEARO,2018,137
SEARO,2019,113
SEARO,2020,115
SEARO,2021,111
SEARO,2022,118
SEARO,2023,109
SEARO,2024,97
WPRO,2000,2368
WPRO,2001,1945
WPRO,2002,1574
WPRO,2003,1586
WPRO,2004,1427
WPRO,2005,1385
WPRO,2006,1322
WPRO,2007,961
WPRO,2008,997
WPRO,2009,1029
WPRO,2010,910
WPRO,2011,726
WPRO,2012,523
WPRO,2013,393
WPRO,2014,268
WPRO,2015,372
WPRO,2016,503
WPRO,2017,371
WPRO,2018,277
WPRO,2019,253
WPRO,2020,231
WPRO,2021,275
WPRO,2022,373
WPRO,2023,413
WPRO,2024,349
